"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Population on 1 January - total","440,047,892",""
"2009","European Union - 28 countries (2013-2020)","Population on 1 January - total","502,090,235",""
"2009","European Union - 27 countries (2007-2013)","Population on 1 January - total","497,780,439",""
"2009","Euro area - 19 countries  (from 2015)","Population on 1 January - total","334,470,255",""
"2009","Euro area - 18 countries (2014)","Population on 1 January - total","331,286,399",""
"2009","Belgium","Population on 1 January - total","10,753,080",""
"2009","Bulgaria","Population on 1 January - total","7,467,119",""
"2009","Czechia","Population on 1 January - total","10,425,783",""
"2009","Denmark","Population on 1 January - total","5,511,451",""
"2009","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","82,002,356",""
"2009","Estonia","Population on 1 January - total","1,335,740",""
"2009","Ireland","Population on 1 January - total","4,521,322",""
"2009","Greece","Population on 1 January - total","11,094,745",""
"2009","Spain","Population on 1 January - total","46,239,273",""
"2009","France","Population on 1 January - total","64,350,226",""
"2009","France (metropolitan)","Population on 1 January - total","62,465,709",""
"2009","Croatia","Population on 1 January - total","4,309,796",""
"2009","Italy","Population on 1 January - total","59,000,586",""
"2009","Cyprus","Population on 1 January - total","796,930",""
"2009","Latvia","Population on 1 January - total","2,162,834",""
"2009","Lithuania","Population on 1 January - total","3,183,856",""
"2009","Luxembourg","Population on 1 January - total","493,500",""
"2009","Hungary","Population on 1 January - total","10,030,975",""
"2009","Malta","Population on 1 January - total","410,926",""
"2009","Netherlands","Population on 1 January - total","16,485,787",""
"2009","Austria","Population on 1 January - total","8,335,003",""
"2009","Poland","Population on 1 January - total","38,135,876",""
"2009","Portugal","Population on 1 January - total","10,563,014",""
"2009","Romania","Population on 1 January - total","20,440,290",""
"2009","Slovenia","Population on 1 January - total","2,032,362",""
"2009","Slovakia","Population on 1 January - total","5,382,401",""
"2009","Finland","Population on 1 January - total","5,326,314",""
"2010","European Union - 27 countries (from 2020)","Population on 1 January - total","440,660,421","b"
"2010","European Union - 28 countries (2013-2020)","Population on 1 January - total","503,170,618","b"
"2010","European Union - 27 countries (2007-2013)","Population on 1 January - total","498,867,771","b"
"2010","Euro area - 19 countries  (from 2015)","Population on 1 January - total","335,266,424",""
"2010","Euro area - 18 countries (2014)","Population on 1 January - total","332,124,448",""
"2010","Belgium","Population on 1 January - total","10,839,905",""
"2010","Bulgaria","Population on 1 January - total","7,421,766",""
"2010","Czechia","Population on 1 January - total","10,462,088",""
"2010","Denmark","Population on 1 January - total","5,534,738",""
"2010","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","81,802,257",""
"2010","Estonia","Population on 1 January - total","1,333,290",""
"2010","Ireland","Population on 1 January - total","4,549,428",""
"2010","Greece","Population on 1 January - total","11,119,289",""
"2010","Spain","Population on 1 January - total","46,486,619",""
"2010","France","Population on 1 January - total","64,658,856",""
"2010","France (metropolitan)","Population on 1 January - total","62,765,235",""
"2010","Croatia","Population on 1 January - total","4,302,847",""
"2010","Italy","Population on 1 January - total","59,190,143",""
"2010","Cyprus","Population on 1 January - total","819,140",""
"2010","Latvia","Population on 1 January - total","2,120,504",""
"2010","Lithuania","Population on 1 January - total","3,141,976",""
"2010","Luxembourg","Population on 1 January - total","502,066",""
"2010","Hungary","Population on 1 January - total","10,014,324",""
"2010","Malta","Population on 1 January - total","414,027",""
"2010","Netherlands","Population on 1 January - total","16,574,989",""
"2010","Austria","Population on 1 January - total","8,351,643",""
"2010","Poland","Population on 1 January - total","38,022,869","b"
"2010","Portugal","Population on 1 January - total","10,573,479",""
"2010","Romania","Population on 1 January - total","20,294,683",""
"2010","Slovenia","Population on 1 January - total","2,046,976",""
"2010","Slovakia","Population on 1 January - total","5,390,410",""
"2010","Finland","Population on 1 January - total","5,351,427",""
"2011","European Union - 27 countries (from 2020)","Population on 1 January - total","439,942,305","b"
"2011","European Union - 28 countries (2013-2020)","Population on 1 January - total","502,964,837","b"
"2011","European Union - 27 countries (2007-2013)","Population on 1 January - total","498,674,980","b"
"2011","Euro area - 19 countries  (from 2015)","Population on 1 January - total","334,572,589","b"
"2011","Euro area - 18 countries (2014)","Population on 1 January - total","331,520,001","b"
"2011","Belgium","Population on 1 January - total","11,000,638","b"
"2011","Bulgaria","Population on 1 January - total","7,369,431",""
"2011","Czechia","Population on 1 January - total","10,486,731",""
"2011","Denmark","Population on 1 January - total","5,560,628",""
"2011","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","80,222,065","b"
"2011","Estonia","Population on 1 January - total","1,329,660",""
"2011","Ireland","Population on 1 January - total","4,570,881",""
"2011","Greece","Population on 1 January - total","11,123,392",""
"2011","Spain","Population on 1 January - total","46,667,174",""
"2011","France","Population on 1 January - total","64,978,721",""
"2011","France (metropolitan)","Population on 1 January - total","63,070,344",""
"2011","Croatia","Population on 1 January - total","4,289,857",""
"2011","Italy","Population on 1 January - total","59,364,690",""
"2011","Cyprus","Population on 1 January - total","839,751",""
"2011","Latvia","Population on 1 January - total","2,074,605",""
"2011","Lithuania","Population on 1 January - total","3,052,588",""
"2011","Luxembourg","Population on 1 January - total","511,840",""
"2011","Hungary","Population on 1 January - total","9,985,722",""
"2011","Malta","Population on 1 January - total","414,989",""
"2011","Netherlands","Population on 1 January - total","16,655,799",""
"2011","Austria","Population on 1 January - total","8,375,164",""
"2011","Poland","Population on 1 January - total","38,062,718",""
"2011","Portugal","Population on 1 January - total","10,572,721",""
"2011","Romania","Population on 1 January - total","20,199,059",""
"2011","Slovenia","Population on 1 January - total","2,050,189",""
"2011","Slovakia","Population on 1 January - total","5,392,446",""
"2011","Finland","Population on 1 January - total","5,375,276",""
"2012","European Union - 27 countries (from 2020)","Population on 1 January - total","440,552,661","b"
"2012","European Union - 28 countries (2013-2020)","Population on 1 January - total","504,047,749","b"
"2012","European Union - 27 countries (2007-2013)","Population on 1 January - total","499,771,765","b"
"2012","Euro area - 19 countries  (from 2015)","Population on 1 January - total","335,288,924","b"
"2012","Euro area - 18 countries (2014)","Population on 1 January - total","332,285,283","b"
"2012","Belgium","Population on 1 January - total","11,075,889","b"
"2012","Bulgaria","Population on 1 January - total","7,327,224",""
"2012","Czechia","Population on 1 January - total","10,505,445",""
"2012","Denmark","Population on 1 January - total","5,580,516",""
"2012","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","80,327,900",""
"2012","Estonia","Population on 1 January - total","1,325,217",""
"2012","Ireland","Population on 1 January - total","4,589,287",""
"2012","Greece","Population on 1 January - total","11,086,406",""
"2012","Spain","Population on 1 January - total","46,818,219",""
"2012","France","Population on 1 January - total","65,276,983",""
"2012","France (metropolitan)","Population on 1 January - total","63,375,971",""
"2012","Croatia","Population on 1 January - total","4,275,984",""
"2012","Italy","Population on 1 January - total","59,394,207",""
"2012","Cyprus","Population on 1 January - total","862,011",""
"2012","Latvia","Population on 1 January - total","2,044,813",""
"2012","Lithuania","Population on 1 January - total","3,003,641",""
"2012","Luxembourg","Population on 1 January - total","524,853","b"
"2012","Hungary","Population on 1 January - total","9,931,925","b"
"2012","Malta","Population on 1 January - total","417,546",""
"2012","Netherlands","Population on 1 January - total","16,730,348",""
"2012","Austria","Population on 1 January - total","8,408,121",""
"2012","Poland","Population on 1 January - total","38,063,792",""
"2012","Portugal","Population on 1 January - total","10,542,398",""
"2012","Romania","Population on 1 January - total","20,095,996",""
"2012","Slovenia","Population on 1 January - total","2,055,496",""
"2012","Slovakia","Population on 1 January - total","5,404,322",""
"2012","Finland","Population on 1 January - total","5,401,267",""
"2013","European Union - 27 countries (from 2020)","Population on 1 January - total","441,257,711",""
"2013","European Union - 28 countries (2013-2020)","Population on 1 January - total","505,163,053",""
"2013","European Union - 27 countries (2007-2013)","Population on 1 January - total","500,900,913",""
"2013","Euro area - 19 countries  (from 2015)","Population on 1 January - total","336,044,966",""
"2013","Euro area - 18 countries (2014)","Population on 1 January - total","333,073,061",""
"2013","Belgium","Population on 1 January - total","11,137,974",""
"2013","Bulgaria","Population on 1 January - total","7,284,552",""
"2013","Czechia","Population on 1 January - total","10,516,125",""
"2013","Denmark","Population on 1 January - total","5,602,628",""
"2013","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","80,523,746",""
"2013","Estonia","Population on 1 January - total","1,320,174",""
"2013","Ireland","Population on 1 January - total","4,609,779",""
"2013","Greece","Population on 1 January - total","11,003,615",""
"2013","Spain","Population on 1 January - total","46,727,890",""
"2013","France","Population on 1 January - total","65,600,350",""
"2013","France (metropolitan)","Population on 1 January - total","63,697,865",""
"2013","Croatia","Population on 1 January - total","4,262,140",""
"2013","Italy","Population on 1 January - total","59,685,227",""
"2013","Cyprus","Population on 1 January - total","865,878",""
"2013","Latvia","Population on 1 January - total","2,023,825",""
"2013","Lithuania","Population on 1 January - total","2,971,905",""
"2013","Luxembourg","Population on 1 January - total","537,039",""
"2013","Hungary","Population on 1 January - total","9,908,798",""
"2013","Malta","Population on 1 January - total","422,509",""
"2013","Netherlands","Population on 1 January - total","16,779,575",""
"2013","Austria","Population on 1 January - total","8,451,860",""
"2013","Poland","Population on 1 January - total","38,062,535",""
"2013","Portugal","Population on 1 January - total","10,487,289",""
"2013","Romania","Population on 1 January - total","20,020,074",""
"2013","Slovenia","Population on 1 January - total","2,058,821",""
"2013","Slovakia","Population on 1 January - total","5,410,836",""
"2013","Finland","Population on 1 January - total","5,426,674",""
"2014","European Union - 27 countries (from 2020)","Population on 1 January - total","442,883,888","b"
"2014","European Union - 28 countries (2013-2020)","Population on 1 January - total","507,235,091","b"
"2014","European Union - 27 countries (2007-2013)","Population on 1 January - total","502,988,282","b"
"2014","Euro area - 19 countries  (from 2015)","Population on 1 January - total","337,764,352","b"
"2014","Euro area - 18 countries (2014)","Population on 1 January - total","334,820,880","b"
"2014","Belgium","Population on 1 January - total","11,180,840",""
"2014","Bulgaria","Population on 1 January - total","7,245,677",""
"2014","Czechia","Population on 1 January - total","10,512,419",""
"2014","Denmark","Population on 1 January - total","5,627,235",""
"2014","Germany (until 1990 former territory of the FRG)","Population on 1 January - total","80,767,463",""
"2014","Estonia","Population on 1 January - total","1,315,819",""
